Numero_Moradia;Nome_Area_Risco;Fonte_Risco;Area_Risco_Geologico;Area_Suscetivel_Alagamento
94089259;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
38916453;[Geológico] Setor S20R3 + [Inundação] Inundação CPRM - Alta;CPRM + CPRM/SEDURB;Sim;Sim
38918593;[Inundação] Alto Rio Possmoser;Outros;Nao;Sim
220788928;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
38917710;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
38911147;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
223489584;[Geológico] Bairro Vila Roos;CPRM;Sim;Nao
38915800;[Geológico] Rua Kurt Ludwig Kerchoft - Bairro Vila Jetibá;CPRM;Sim;Nao
216518227;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
38909538;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
218928033;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
201139400;[Geológico] Setor S20R3 + [Inundação] Inundação CPRM - Alta;CPRM + CPRM/SEDURB;Sim;Sim
216518210;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
196328255;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
201193977;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
101282367;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
94089158;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
38916608;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
38918653;[Geológico] Distrito de Rio Possmoser - Rodovia ES-264 + [Inundação] Alto Rio Possmoser;CPRM + Outros;Sim;Sim
38918637;[Geológico] Distrito de Rio Possmoser - Rodovia ES-264 + [Inundação] Alto Rio Possmoser;CPRM + Outros;Sim;Sim
223490117;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
224372547;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
94089167;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
216517636;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
94090490;[Geológico] Vila dos Italianos;CPRM/SEDURB;Sim;Nao
38916090;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
94090594;[Inundação] Alto Rio Possmoser;Outros;Nao;Sim
223871214;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
38918716;[Inundação] Alto Rio Possmoser;Outros;Nao;Sim
38916154;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
38916984;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
38917420;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
197055136;[Geológico] Setor S13R3;CPRM/SEDURB;Sim;Nao
223871266;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
38911047;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
224372553;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
38909492;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
110407966;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
38918527;[Inundação] Alto Rio Possmoser;Outros;Nao;Sim
38916577;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
197055228;[Geológico] Setor S15R3;CPRM/SEDURB;Sim;Nao
201139155;[Geológico] Setor S20R3;CPRM/SEDURB;Sim;Nao
98718464;[Geológico] Setor S3R3;CPRM/SEDURB;Sim;Nao
38911190;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
197070342;[Inundação] Alto Rio Possmoser;Outros;Nao;Sim
38911216;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
38909550;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
201127408;[Inundação] Alto Rio Possmoser;Outros;Nao;Sim
223871168;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
196328286;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
101282516;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
196326719;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
94088700;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
223871279;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
223489423;[Geológico] Bairro Vila Roos;CPRM;Sim;Nao
223489647;[Geológico] Bairro Vila Roos;CPRM;Sim;Nao
216004861;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
38916635;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
224372610;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
197054699;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
223871253;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
224372574;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
197071184;[Inundação] Alto Rio Possmoser;Outros;Nao;Sim
223871231;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
197068174;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
223000034;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
197070997;[Inundação] Alto Rio Possmoser;Outros;Nao;Sim
38916816;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
38916842;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
38916403;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
38918798;[Inundação] Alto Rio Possmoser;Outros;Nao;Sim
38916716;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
223489708;[Geológico] Rua Kurt Ludwig Kerchoft - Bairro Vila Jetibá;CPRM;Sim;Nao
38910020;[Geológico] Setor S13R3;CPRM/SEDURB;Sim;Nao
197055002;[Geológico] Setor S13R3;CPRM/SEDURB;Sim;Nao
223871366;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
220788951;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
223489277;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
38916705;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
201139507;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
217484138;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
196326881;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
38918520;[Geológico] Distrito de Rio Possmoser - Rodovia ES-264 + [Inundação] Alto Rio Possmoser;CPRM + Outros;Sim;Sim
224372635;[Geológico] Rua Vinte quatro de junho - Bairro São Luis + [Inundação] Inundação CPRM - Alta;CPRM;Sim;Sim
94088879;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
38916864;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
101282549;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
217484111;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
38917426;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
196326597;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
38916626;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
216004690;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
38917604;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
38921158;[Inundação] Alto Rio Possmoser;Outros;Nao;Sim
38916420;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
223000035;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
201139241;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
38916212;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
223871271;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
223489797;[Geológico] Rua Kurt Ludwig Kerchoft - Bairro Vila Jetibá;CPRM;Sim;Nao
216004210;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
223489946;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
94090865;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
38916980;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
217483747;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
217484013;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
196326599;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
196322343;[Geológico] Setor S5R3;CPRM/SEDURB;Sim;Nao
38919244;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
217484139;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
97551698;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
201130654;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
216517767;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
38915639;[Geológico] Rua Kurt Ludwig Kerchoft - Bairro Vila Jetibá;CPRM;Sim;Nao
224372702;[Geológico] Setor S13R3;CPRM/SEDURB;Sim;Nao
201127491;[Inundação] Alto Rio Possmoser;Outros;Nao;Sim
223871282;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
38913891;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
224372572;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
38911155;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
38916238;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
38909357;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
38916115;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
38909537;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
94091078;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
224372570;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
201193820;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
94089366;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
223871431;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
197070886;[Inundação] Alto Rio Possmoser;Outros;Nao;Sim
201139186;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
94090882;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
38916943;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
94088740;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
38911583;[Inundação] Alto Rio Possmoser;Outros;Nao;Sim
38916672;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
223871272;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
38917712;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
196326579;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
197070856;[Inundação] Alto Rio Possmoser;Outros;Nao;Sim
38915638;[Geológico] Rua Kurt Ludwig Kerchoft - Bairro Vila Jetibá;CPRM;Sim;Nao
38914232;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
223489631;[Geológico] Bairro Vila Roos;CPRM;Sim;Nao
220460676;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
38909432;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
94089375;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
196327017;[Geológico] Rua Sofia Heinke Erdmman - Bairro São Luis;CPRM;Sim;Nao
216004534;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
38918597;[Inundação] Alto Rio Possmoser;Outros;Nao;Sim
38915774;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
38916500;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
220789060;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
38909970;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
38916411;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
38916538;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
197055108;[Geológico] Rua Vinte quatro de junho - Bairro São Luis;CPRM;Sim;Nao
94090830;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
38916073;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
38911314;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
38909317;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
38909485;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
201127498;[Inundação] Alto Rio Possmoser;Outros;Nao;Sim
223871217;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
196328289;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
94089273;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
197070321;[Inundação] Alto Rio Possmoser;Outros;Nao;Sim
94089373;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
38916166;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
223489792;[Geológico] Rua Kurt Ludwig Kerchoft - Bairro Vila Jetibá;CPRM;Sim;Nao
38911089;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
224372598;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
196334190;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
38909508;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
38911124;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
224372638;[Geológico] Rua Vinte quatro de junho - Bairro São Luis + [Inundação] Inundação CPRM - Alta;CPRM;Sim;Sim
223489398;[Geológico] Bairro Vila Roos;CPRM;Sim;Nao
113202643;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
218928055;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
197055197;[Geológico] Setor S15R3;CPRM/SEDURB;Sim;Nao
97551555;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
201193983;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
38909855;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
196327285;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
38909297;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
38909530;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
38916368;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
38916927;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
38918781;[Inundação] Alto Rio Possmoser;Outros;Nao;Sim
38916400;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
38913910;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
224372699;[Geológico] Rua Vinte quatro de junho - Bairro São Luis;CPRM;Sim;Nao
38908430;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
38911549;[Inundação] Alto Rio Possmoser;Outros;Nao;Sim
216004323;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
224372595;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
101282567;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
38909295;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
38917392;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
223871121;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
196322050;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
197071154;[Geológico] Distrito de Rio Possmoser - Rodovia ES-264 + [Inundação] Alto Rio Possmoser;CPRM + Outros;Sim;Sim
216517601;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
38918664;[Geológico] Distrito de Rio Possmoser - Rodovia ES-264 + [Inundação] Alto Rio Possmoser;CPRM + Outros;Sim;Sim
38916072;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
38913890;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
38911092;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
201194758;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
38909840;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
38911261;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
94088953;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
223000054;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
38916698;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
38910064;[Geológico] Rua Vinte quatro de junho - Bairro São Luis;CPRM;Sim;Nao
94091092;[Geológico] Setor S20R3;CPRM/SEDURB;Sim;Nao
223000041;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
38910664;[Geológico] Beira Rio;CPRM/SEDURB;Sim;Nao
38918725;[Inundação] Alto Rio Possmoser;Outros;Nao;Sim
201127451;[Inundação] Alto Rio Possmoser;Outros;Nao;Sim
94088715;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
38911093;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
220460581;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
38911580;[Inundação] Alto Rio Possmoser;Outros;Nao;Sim
223000385;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
220460661;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
38916497;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
38911567;[Inundação] Alto Rio Possmoser;Outros;Nao;Sim
94089188;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
38917503;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
197070356;[Inundação] Alto Rio Possmoser;Outros;Nao;Sim
217483703;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
38916382;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
94088844;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
197071060;[Inundação] Alto Rio Possmoser;Outros;Nao;Sim
217484091;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
38916126;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
197071403;[Inundação] Alto Rio Possmoser;Outros;Nao;Sim
38916834;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
38916729;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
38909545;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
38918871;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
216517847;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
38916474;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
94088709;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
223489412;[Geológico] Bairro Vila Roos;CPRM;Sim;Nao
201138020;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
38914786;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
94088802;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
196332990;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
38916961;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
217483740;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
38915197;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
216004510;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
38916386;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
223489415;[Geológico] Bairro Vila Roos;CPRM;Sim;Nao
197071395;[Inundação] Alto Rio Possmoser;Outros;Nao;Sim
223489779;[Geológico] Rua Kurt Ludwig Kerchoft - Bairro Vila Jetibá;CPRM;Sim;Nao
223489404;[Geológico] Bairro Vila Roos;CPRM;Sim;Nao
94088717;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
197066052;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
38909478;[Geológico] Rua Vinte quatro de junho - Bairro São Luis + [Inundação] Inundação CPRM - Alta;CPRM;Sim;Sim
196321611;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
38917761;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
38916407;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
201138802;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
94090892;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
38916550;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
94088959;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
197055202;[Geológico] Rua Vinte quatro de junho - Bairro São Luis;CPRM;Sim;Nao
38909302;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
94091059;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
38917715;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
38916186;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
196325567;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
196326890;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
197055100;[Geológico] Setor S13R3;CPRM/SEDURB;Sim;Nao
38916818;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
201194709;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
38909300;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
38915867;[Geológico] Rua Kurt Ludwig Kerchoft - Bairro Vila Jetibá;CPRM;Sim;Nao
38909853;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
94091082;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
196328142;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
197071273;[Inundação] Alto Rio Possmoser;Outros;Nao;Sim
38916056;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
