id;localidade;logradouro;numero;estabelecimento;lat;lon;area_risco;setor_risco;grau_risco
223489825;SAO SEBASTIAO;SEM DENOMINACAO;61;;-20.020606;-40.765651;Rua Kurt Ludwig Kerchoft - Bairro Vila Jetibá;ES_SM_SR_03_CPRM;Muito Alto
223489826;SAO SEBASTIAO;SEM DENOMINACAO;58;;-20.020589;-40.765497;Rua Kurt Ludwig Kerchoft - Bairro Vila Jetibá;ES_SM_SR_03_CPRM;Muito Alto
223489827;SAO SEBASTIAO;SEM DENOMINACAO;0;;-20.020661;-40.76531;Rua Kurt Ludwig Kerchoft - Bairro Vila Jetibá;ES_SM_SR_03_CPRM;Muito Alto
38915798;SAO SEBASTIAO;SEM DENOMINACAO;0;;-20.020706;-40.765854;Rua Kurt Ludwig Kerchoft - Bairro Vila Jetibá;ES_SM_SR_03_CPRM;Muito Alto
38915799;SAO SEBASTIAO;SEM DENOMINACAO;0;;-20.020726;-40.765717;Rua Kurt Ludwig Kerchoft - Bairro Vila Jetibá;ES_SM_SR_03_CPRM;Muito Alto
38915800;SAO SEBASTIAO;SEM DENOMINACAO;0;;-20.020602;-40.765897;Rua Kurt Ludwig Kerchoft - Bairro Vila Jetibá;ES_SM_SR_03_CPRM;Muito Alto
38915834;SAO SEBASTIAO;SEM DENOMINACAO;0;;-20.020663;-40.765652;Rua Kurt Ludwig Kerchoft - Bairro Vila Jetibá;ES_SM_SR_03_CPRM;Muito Alto
38915863;SAO SEBASTIAO;SEM DENOMINACAO;0;;-20.020607;-40.76535;Rua Kurt Ludwig Kerchoft - Bairro Vila Jetibá;ES_SM_SR_03_CPRM;Muito Alto
196333006;CENTRO;SEM DENOMINACAO 4;0;;-19.992973;-40.746992;Sem nome;S12R2;M�dio
94088692;CENTRO;FRANCISCO SCHWARTZ;127;;-20.030082;-40.741235;Sem nome;S20R3;Alto
94088694;CENTRO;FRANCISCO SCHWARTZ;127;LOJA DE ROUPA LU E LI;-20.030134;-40.741184;Sem nome;S20R3;Alto
94088695;CENTRO;FRANCISCO SCHWARTZ;119;;-20.030147;-40.741272;Sem nome;S20R3;Alto
38918564;ALTO RIO POSSMOSER;REINALDO BERGER;1005;;-20.06781;-40.83835;Distrito de Rio Possmoser - Rodovia ES-264;ES_SM_SR_08_CPRM;Muito Alto
38918565;ALTO RIO POSSMOSER;REINALDO BERGER;1005;;-20.067572;-40.838467;Distrito de Rio Possmoser - Rodovia ES-264;ES_SM_SR_08_CPRM;Muito Alto
